link_id,success_count,failure_count,high_score
1657,6.0,9.0,42.33077675237297
1659,1.0,5.0,33.972269558762136
1660,4.0,7.0,38.42048740997529
1661,1.0,6.0,36.29587055570688
1670,2.0,6.0,38.61051994774369
1671,1.0,4.0,22.07036647393885
1674,4.0,7.0,38.54914106471959
1678,1.0,4.0,22.005879978386613
1679,3.0,7.0,36.37188348132803
1680,3.0,7.0,36.60968261294044
1705,1.0,4.0,31.56787433964834
1706,3.0,7.0,39.63864357862342
1707,2.0,6.0,35.700873445337514
1708,2.0,6.0,38.09414500767393
1709,7.0,9.0,42.189528863323815
171,5.0,9.0,37.501350492639055
1710,1.0,5.0,25.21452284094125
1711,1.0,5.0,30.34682561031569
1712,7.0,10.0,41.56433654549379
1713,3.0,8.0,37.96561333355388
1714,4.0,7.0,38.11401583171748
1715,2.0,6.0,31.274282065539563
1716,2.0,7.0,37.01490332053634
1717,2.0,5.0,34.90470049443158
1718,2.0,4.0,37.798882426702974
1719,2.0,7.0,37.556264447988994
172,3.0,7.0,37.85712640709411
1720,6.0,10.0,38.5460419790602
1721,2.0,5.0,37.03860097240288
1722,3.0,6.0,37.21713119974244
1723,3.0,7.0,37.4631174470769
1724,6.0,7.0,40.2267574741518
1725,1.0,4.0,25.94072715633027
1727,1.0,5.0,30.398107416475813
1728,8.0,9.0,38.54914106471959
1729,1.0,4.0,35.16481466676261
173,3.0,7.0,38.69092765469584
1730,1.0,6.0,31.898310379553383
1731,2.0,5.0,37.68221102376104
1732,2.0,6.0,32.13268512852086
1733,1.0,5.0,31.732983913166866
1734,1.0,4.0,33.65122652484891
1735,3.0,7.0,37.27603176112355
1736,10.0,14.0,38.84987974408786
1754,1.0,5.0,36.81958319068903
1755,4.0,8.0,40.28995687256902
1756,4.0,9.0,39.45443689365645
176,2.0,7.0,31.876437300807066
177,1.0,5.0,34.145567905521034
1779,1.0,4.0,25.99074345188149
178,2.0,7.0,35.53762955197844
1780,1.0,5.0,30.80444412369401
1784,3.0,7.0,38.80172763193725
1785,2.0,6.0,37.0275215171756
1786,1.0,5.0,35.7983012400341
1788,1.0,5.0,32.85359097658846
179,4.0,7.0,41.54299610511141
180,3.0,6.0,38.81771693554256
181,2.0,5.0,33.15347784464927
182,4.0,9.0,39.3473360240003
183,9.0,10.0,42.04103211161173
1835,3.0,6.0,42.57203721989794
184,2.0,6.0,36.1895293255556
1843,1.0,4.0,29.50407693817189
1844,6.0,9.0,38.66588328723099
1845,3.0,8.0,32.006893842490506
1847,4.0,8.0,36.60379652303287
1848,2.0,7.0,36.19057751379584
1849,1.0,6.0,34.02937750850112
185,1.0,6.0,36.4765548848426
1850,3.0,7.0,38.77923191389343
1851,1.0,6.0,34.356019583965406
1852,4.0,8.0,35.94164070210386
1853,1.0,5.0,31.380364644583807
1854,1.0,6.0,31.678900113391723
1855,8.0,10.0,39.3845246696165
1856,2.0,5.0,37.259390524038224
1857,8.0,10.0,39.38244285633829
1867,1.0,6.0,33.00301080971603
1869,1.0,6.0,26.30150394660224
1874,1.0,5.0,28.42056707195772
1875,1.0,5.0,31.55181493793615
1879,3.0,8.0,36.92422563763723
1884,2.0,7.0,39.38244285633829
1885,6.0,9.0,39.87592726254613
1886,1.0,5.0,33.42847473574683
1887,10.0,11.0,40.29828019680348
1888,1.0,5.0,36.72501925265
1889,1.0,4.0,26.924245579067083
1890,5.0,9.0,40.03908211191535
1891,1.0,6.0,34.12210689817117
1892,5.0,8.0,39.05086441937885
1893,1.0,5.0,35.143135010545755
1894,2.0,6.0,35.34812577893516
1895,9.0,12.0,39.86346259771982
1917,4.0,8.0,37.18296577580484
1918,5.0,8.0,39.86346259771982
1919,3.0,5.0,37.23465009411522
1920,8.0,10.0,37.56702764523912
1921,4.0,8.0,41.54299610511141
1922,2.0,6.0,38.07780372552032
1923,2.0,6.0,35.64132137519328
1924,3.0,6.0,38.77923191389343
1925,26.0,21.0,40.29828019680348
1926,1.0,6.0,34.28119460713169
1927,4.0,8.0,39.00324796274548
1928,12.0,13.0,39.36675045934589
1929,4.0,8.0,39.40092989841603
194,2.0,7.0,36.99176882032577
196,4.0,7.0,40.24111777619159
197,3.0,8.0,38.80172763193725
198,3.0,6.0,36.839496170343
199,1.0,5.0,32.19323515839411
